Depth,Vp,Vs
-0.032,1.744,1.042
0.032,1.744,1.042
0.048,1.859,1.11
0.063,1.991,1.189
0.078,1.999,1.194
0.093,2.288,1.367
0.108,2.48,1.481
0.123,2.616,1.563
0.138,2.88,1.721
0.153,3.125,1.867
0.169,3.059,1.827
0.184,3.498,2.089
0.199,3.222,1.925
0.214,3.04,1.816
0.229,2.947,1.761
0.244,2.897,1.731
0.259,2.974,1.777
0.274,2.859,1.708
0.29,2.589,1.546
0.305,2.604,1.555
0.32,3.194,1.908
0.335,2.956,1.766
0.35,2.469,1.475
0.365,3.177,1.898
0.38,3.299,1.971
0.395,2.816,1.682
0.41,3.005,1.795
0.425,2.778,1.659
0.439,3.33,1.99
0.454,2.709,1.618
0.469,3.52,2.103
0.483,2.955,1.766
0.498,3.129,1.869
0.512,2.848,1.701
0.527,3.521,2.103
0.541,2.652,1.584
0.556,3.177,1.898
0.57,3.385,2.022
0.584,3.241,1.936
0.599,3.415,2.04
0.613,3.521,2.103
0.628,3.66,2.187
0.642,3.61,2.157
0.656,3.726,2.226
0.671,3.688,2.203
0.685,3.732,2.23
0.699,3.871,2.313
0.714,3.621,2.163
0.728,3.71,2.216
0.742,3.792,2.265
0.756,3.863,2.308
0.771,3.898,2.329
0.785,3.902,2.331
0.799,3.945,2.357
0.813,4.025,2.404
0.827,3.999,2.389
0.842,3.994,2.386
0.856,4.174,2.494
0.87,4.067,2.43
0.884,4.1,2.449
0.898,4.102,2.451
0.912,4.272,2.552
0.926,4.082,2.438
0.94,4.146,2.477
0.954,4.248,2.538
0.968,4.261,2.546
0.982,4.409,2.634
0.996,4.284,2.56
1.01,4.201,2.51
1.025,4.34,2.593
1.039,4.294,2.565
1.053,4.18,2.497
1.067,4.43,2.646
1.08,4.307,2.573
1.094,4.404,2.631
1.109,4.665,2.787
1.123,4.371,2.611
1.137,4.811,2.874
1.151,4.136,2.471
1.166,4.291,2.564
1.171,4.313,2.493
1.177,4.27,2.409
1.183,4.172,2.324
1.187,4.147,2.3
1.194,4.131,2.295
1.201,4.102,2.294
1.206,4.114,2.341
1.21,4.147,2.404
1.215,4.098,2.393
1.222,4.012,2.341
1.226,4.15,2.431
1.234,4.682,2.767
1.238,5.273,3.156
1.243,5.294,3.089
1.251,4.492,2.481
1.257,4.341,2.407
1.264,4.983,2.928
1.273,4.984,3.038
1.277,4.75,2.897
1.282,4.656,2.843
1.288,4.664,2.842
1.291,4.712,2.854
1.298,4.772,2.887
1.301,4.766,2.929
1.311,4.625,2.919
1.315,4.559,2.944
1.32,4.619,3.025
1.324,4.688,3.098
1.327,4.709,3.14
1.331,4.729,3.152
1.337,4.841,3.201
1.345,4.842,3.251
1.351,4.761,3.204
1.356,4.725,2.963
1.365,4.793,2.829
1.37,4.86,2.865
1.376,4.921,2.901
1.38,4.951,2.93
1.384,4.902,2.976
1.39,4.808,3.002
1.396,4.789,2.976
1.399,4.793,2.959
1.404,4.756,2.968
1.408,4.733,3.011
1.414,4.795,3.033
1.42,4.859,3.017
1.424,4.926,3.048
1.428,5.048,3.172
1.433,5.118,3.275
1.438,4.989,3.19
1.443,4.782,3.016
1.452,4.908,3.047
1.462,4.998,3.136
1.469,4.857,3.162
1.475,4.78,3.2
1.478,4.771,3.23
1.482,4.764,3.206
1.486,4.763,3.13
1.49,4.791,3.053
1.493,4.852,3.015
1.498,4.909,3.023
1.503,4.887,3.064
1.509,4.884,3.127
1.516,4.886,3.2
1.52,4.858,3.167
1.529,5.033,3.074
1.536,5.179,3.094
1.542,4.893,2.977
1.55,4.483,2.721
1.559,4.515,2.763
1.565,4.616,2.897
1.568,4.684,2.98
1.572,4.779,3.08
1.578,4.854,3.187
1.582,4.914,3.179
1.59,5.034,3.118
1.598,5.178,3.149
1.602,5.204,3.172
1.607,4.963,3.138
1.614,4.73,3.108
1.62,4.691,3.134
1.627,4.722,3.119
1.633,4.769,3.109
1.639,4.799,3.118
1.644,4.812,3.122
1.648,4.747,3.07
1.657,4.552,2.944
1.66,4.442,2.877
1.664,4.493,2.836
1.67,4.653,2.82
1.675,4.616,2.783
1.678,4.482,2.733
1.682,4.364,2.682
1.689,4.412,2.688
1.694,4.446,2.683
1.702,4.349,2.678
1.708,4.305,2.719
1.713,4.293,2.695
1.717,4.276,2.626
1.722,4.254,2.571
1.728,4.271,2.567
1.738,4.46,2.667
1.744,4.601,2.773
1.751,4.507,2.732
1.754,4.467,2.672
1.761,4.686,2.71
1.77,4.725,2.735
1.774,4.649,2.757
1.779,4.613,2.789
1.785,4.649,2.789
1.793,4.701,2.779
1.797,4.715,2.803
1.801,4.712,2.853
1.809,4.744,2.908
1.816,4.768,2.938
1.819,4.809,2.926
1.828,4.889,2.888
1.834,4.953,2.878
1.838,4.986,2.888
1.844,4.977,2.932
1.851,5.025,2.978
1.855,5.092,2.988
1.859,5.064,2.974
1.865,4.991,2.978
1.87,5.009,3.006
1.874,5.058,3.041
1.881,5.065,3.059
1.887,5.083,3.041
